gender,age,Medu,Fedu,Mjob,Fjob,traveltime,studytime,internet,goout,Dalc,Walc,health,absences,result
M,18,3,1,services,services,2,1,yes,4,4,5,4,2,12
M,20,2,2,services,services,1,2,no,4,4,5,4,11,9
M,17,1,2,at_home,services,2,2,yes,4,4,5,5,12,8
M,17,1,2,at_home,services,2,2,yes,4,4,5,5,16,12
M,17,3,3,services,services,1,1,yes,4,5,5,3,8,9
M,18,1,2,at_home,services,2,1,no,4,5,5,1,8,11
F,16,2,2,other,other,1,2,yes,5,1,1,4,0,0
F,16,1,3,at_home,services,1,2,yes,5,1,1,3,0,0
M,16,4,3,teacher,other,1,1,yes,5,1,1,3,0,0
F,18,2,2,other,other,2,1,yes,5,1,1,3,0,0
F,16,4,3,other,at_home,1,3,yes,5,1,1,3,0,8
F,16,2,1,other,other,1,2,no,5,1,1,5,0,12
F,16,2,2,other,other,1,2,yes,5,1,1,4,0,13
F,16,1,3,at_home,services,1,2,yes,5,1,1,3,0,13
F,19,2,2,other,other,1,3,yes,5,1,1,1,0,13
F,16,3,3,other,other,2,2,yes,5,1,1,4,0,15
F,17,4,4,health,health,1,2,yes,5,1,1,5,0,16
F,17,1,0,other,other,2,2,yes,5,1,1,4,1,10
F,15,1,1,other,other,3,1,yes,5,1,1,1,2,9
F,16,2,1,other,other,1,2,no,5,1,1,5,2,10
F,18,2,2,at_home,other,4,2,no,5,1,1,2,2,10
F,16,4,3,other,at_home,1,3,yes,5,1,1,3,2,13
F,16,4,4,health,health,1,3,yes,5,1,1,4,2,14
F,18,2,2,services,at_home,2,2,yes,5,1,1,1,2,14
M,18,4,4,services,other,1,1,yes,5,1,1,5,3,17
F,16,3,3,other,other,2,2,yes,5,1,1,4,4,9
F,16,2,2,other,other,3,2,yes,5,1,1,4,4,11
F,16,4,4,health,health,1,3,yes,5,1,1,4,4,16
M,18,4,4,at_home,services,3,1,yes,5,1,1,1,5,14
F,16,2,2,services,services,2,4,yes,5,1,1,5,6,11
F,16,2,2,services,services,2,4,yes,5,1,1,5,6,13
M,16,4,3,teacher,other,1,1,yes,5,1,1,3,7,15
F,16,3,2,services,at_home,2,2,no,5,1,1,1,8,7
F,15,3,2,services,other,2,2,yes,5,1,1,2,16,10
F,15,3,2,services,other,2,2,yes,5,1,1,2,26,6
M,17,2,1,other,other,1,1,yes,5,1,2,5,0,0
F,18,2,1,other,other,2,2,yes,5,1,2,3,0,0
M,17,2,2,other,other,3,1,yes,5,1,2,5,0,9
F,17,2,1,at_home,services,2,2,yes,5,1,2,5,0,11
F,17,2,2,at_home,other,2,2,yes,5,1,2,4,0,11
F,17,1,1,at_home,other,2,1,yes,5,1,2,5,0,11
F,18,4,3,other,other,2,2,yes,5,1,2,2,0,14
F,18,1,1,other,other,2,3,yes,5,1,2,2,0,14
F,16,2,2,services,other,1,1,no,5,1,2,5,0,16
F,18,4,4,teacher,teacher,2,2,yes,5,1,2,1,0,18
F,16,2,2,other,other,3,2,yes,5,1,2,1,1,11
F,17,2,1,at_home,services,2,2,yes,5,1,2,5,2,6
F,17,1,1,at_home,at_home,1,2,yes,5,1,2,3,2,11
F,17,2,2,other,other,1,2,yes,5,1,2,5,4,11
F,16,1,2,other,other,1,1,yes,5,1,2,5,4,11
M,16,3,4,other,health,3,2,no,5,1,2,5,4,11
F,18,2,1,other,other,1,2,yes,5,1,2,1,8,15
F,18,4,3,other,other,2,2,yes,5,1,2,2,10,8
F,18,2,1,other,other,2,2,yes,5,1,2,3,12,10
F,17,2,2,other,other,1,2,yes,5,1,2,5,12,14
M,17,2,1,other,other,1,1,yes,5,1,2,5,22,6
F,17,4,2,teacher,services,1,2,yes,5,1,3,5,0,0
F,16,1,2,at_home,other,1,2,yes,5,1,3,3,0,9
M,17,1,1,other,services,2,1,yes,5,1,3,2,0,10
M,17,4,4,teacher,teacher,1,2,yes,5,1,3,2,0,13
F,17,2,3,other,other,2,1,yes,5,1,3,3,2,12
F,17,1,2,other,other,1,1,yes,5,1,3,1,4,9
M,17,4,3,services,other,2,2,yes,5,1,3,2,4,11
M,17,4,3,services,other,2,2,yes,5,1,3,2,4,11
F,18,2,3,other,services,1,4,yes,5,1,3,2,4,14
M,18,4,2,health,other,1,2,yes,5,1,3,5,4,14
F,15,4,3,services,other,1,1,yes,5,1,3,1,4,18
F,15,4,3,services,other,1,1,yes,5,1,3,1,6,13
F,17,3,4,services,other,1,3,yes,5,1,3,5,8,14
M,18,3,3,at_home,at_home,1,2,yes,5,1,3,3,9,8
F,18,2,1,services,other,1,2,yes,5,1,3,5,10,8
M,18,4,2,health,other,1,2,yes,5,1,3,5,10,10
F,18,2,3,other,services,1,4,yes,5,1,3,2,10,16
M,15,1,2,other,services,3,2,no,5,1,3,5,11,10
F,17,1,2,other,other,1,1,yes,5,1,3,1,14,5
M,17,4,4,teacher,teacher,1,2,yes,5,1,3,2,14,9
F,17,3,4,services,other,1,3,yes,5,1,3,5,16,15
F,18,2,2,services,services,2,3,yes,5,1,4,3,0,13
F,16,1,2,other,other,2,1,yes,5,1,4,2,0,15
F,16,4,4,teacher,services,2,3,yes,5,1,4,5,1,12
F,16,3,3,other,services,1,2,yes,5,1,4,3,6,13
F,18,1,1,other,at_home,2,2,no,5,1,4,3,8,10
M,17,4,3,health,other,2,2,yes,5,1,4,5,8,15
M,18,3,4,other,other,1,2,yes,5,1,4,2,9,15
F,16,3,3,other,services,1,2,yes,5,1,4,3,12,11
M,17,4,3,health,other,2,2,yes,5,1,4,5,14,12
M,17,1,1,other,services,4,2,no,5,1,5,5,0,7
M,17,1,1,other,services,4,2,no,5,1,5,5,0,8
F,16,4,3,health,other,1,2,yes,5,1,5,2,2,15
F,16,4,3,health,other,1,2,yes,5,1,5,2,2,16
F,18,1,1,at_home,other,3,1,no,5,1,5,4,6,10
F,18,1,1,at_home,other,3,1,no,5,1,5,4,6,11
M,16,4,3,other,other,1,1,yes,5,1,5,5,8,13
F,17,1,1,at_home,at_home,2,1,yes,5,2,2,4,3,10
F,19,1,1,at_home,services,2,1,no,5,2,3,2,0,0
M,18,4,3,teacher,other,1,3,yes,5,2,3,5,0,9
M,18,4,3,teacher,other,1,3,yes,5,2,3,5,0,14
M,16,3,2,services,other,2,1,yes,5,2,3,5,2,10
M,15,2,2,other,other,3,4,no,5,2,3,5,8,14
M,17,3,4,at_home,other,3,2,no,5,2,4,5,0,0
M,16,3,4,other,other,3,1,yes,5,2,4,2,0,0
M,18,3,2,services,other,2,1,yes,5,2,4,5,0,8
M,16,1,1,at_home,other,2,1,yes,5,2,4,5,0,9
M,16,2,2,other,other,1,2,yes,5,2,4,4,0,11
M,18,2,2,other,other,1,4,yes,5,2,4,5,0,12
M,17,3,2,services,services,1,1,yes,5,2,4,5,2,7
M,18,2,2,other,other,1,4,yes,5,2,4,5,2,8
M,17,3,4,at_home,other,3,2,no,5,2,4,5,2,10
F,18,2,2,other,other,1,1,yes,5,2,4,5,2,10
M,16,2,2,other,other,1,2,yes,5,2,4,4,4,10
M,16,3,4,other,other,3,1,yes,5,2,4,2,4,10
F,17,2,1,services,other,1,2,yes,5,2,4,4,4,16
M,18,3,2,services,other,2,1,yes,5,2,4,5,8,7
M,15,1,1,other,other,4,2,no,5,2,4,4,8,9
M,17,3,2,services,services,1,1,yes,5,2,4,5,16,5
F,17,4,3,other,other,1,2,yes,5,2,4,1,16,10
F,17,4,3,other,other,1,2,yes,5,2,4,1,22,4
M,18,1,1,other,other,1,1,yes,5,2,5,4,0,0
M,18,1,1,other,other,1,1,yes,5,2,5,4,0,0
M,15,2,1,services,other,4,1,yes,5,2,5,5,0,10
M,15,2,1,services,other,4,1,yes,5,2,5,5,0,11
F,17,3,3,at_home,other,1,1,yes,5,2,5,5,2,11
M,18,2,1,services,services,1,1,yes,5,2,5,5,4,6
M,18,2,1,services,services,1,1,yes,5,2,5,5,4,8
M,16,4,4,teacher,teacher,1,1,yes,5,2,5,4,8,15
M,16,4,4,teacher,teacher,1,1,yes,5,2,5,4,8,18
M,15,3,4,services,services,1,1,yes,5,3,2,5,0,12
M,15,3,4,services,services,1,1,yes,5,3,2,5,2,9
F,19,3,3,other,services,1,2,yes,5,3,3,5,15,9
F,19,3,3,other,services,1,2,yes,5,3,3,5,16,12
M,17,3,3,services,at_home,2,4,no,5,3,4,5,0,10
M,18,4,4,other,other,1,1,yes,5,3,4,5,2,11
M,17,3,1,services,services,2,1,yes,5,3,4,2,3,16
M,15,4,2,health,health,2,1,no,5,3,4,5,4,9
M,15,4,2,health,health,2,1,no,5,3,4,5,6,10
M,17,3,1,services,services,2,1,yes,5,3,4,2,6,10
M,18,3,4,other,other,2,2,yes,5,3,4,1,6,16
M,18,3,4,other,other,2,2,yes,5,3,4,1,13,17
M,16,1,2,health,services,2,1,yes,5,3,5,5,0,10
M,17,2,2,other,other,2,1,no,5,3,5,5,0,10
M,17,3,3,other,services,1,1,yes,5,3,5,5,0,17
M,17,2,2,services,services,3,4,no,5,3,5,3,2,9
M,17,3,3,other,services,1,1,yes,5,3,5,5,3,16
M,15,4,4,other,other,4,4,yes,5,3,5,1,6,13
M,15,4,4,other,other,4,4,yes,5,3,5,1,8,11
F,19,1,1,other,other,3,3,no,5,4,3,5,12,11
M,16,3,3,other,services,1,2,yes,5,4,4,5,0,1
M,18,2,1,services,other,3,2,yes,5,4,4,5,4,11
M,16,3,3,other,services,1,2,yes,5,4,4,5,4,12
F,19,4,4,teacher,other,1,1,yes,5,4,4,5,5,11
M,16,1,1,at_home,services,2,2,no,5,4,5,3,0,0
M,17,4,4,services,other,1,2,yes,5,4,5,3,13,13
M,17,4,4,services,other,1,2,yes,5,4,5,3,15,12
F,16,1,1,services,services,4,1,yes,5,5,5,5,0,16
M,18,4,4,at_home,health,1,4,yes,5,5,5,5,2,6
M,17,2,2,services,other,4,1,yes,5,5,5,4,2,10
M,17,1,2,at_home,services,1,1,yes,5,5,5,3,4,11
M,16,4,4,teacher,teacher,1,2,yes,5,5,5,5,4,12
F,16,1,1,services,services,4,1,yes,5,5,5,5,6,11
M,17,2,1,other,other,3,1,no,5,5,5,3,8,9
M,17,2,2,services,other,4,1,yes,5,5,5,4,8,10
M,18,3,2,other,other,2,1,yes,5,5,5,5,8,11
M,18,3,2,other,other,2,1,yes,5,5,5,5,10,13
M,22,3,1,services,services,1,1,yes,5,5,5,1,12,5
M,17,1,2,other,other,1,1,yes,5,5,5,1,12,7
M,16,4,4,services,services,1,1,yes,5,5,5,4,12,8
M,16,4,4,services,services,1,1,yes,5,5,5,4,14,5
M,22,3,1,services,services,1,1,yes,5,5,5,1,16,8
M,16,4,4,teacher,teacher,1,2,yes,5,5,5,5,16,11
